Title,Year span,Genre,Run time,Ratings,Votes
Game of Thrones,(2011–2019),"Action, Adventure, Drama",57 min,9.2,"1,836,498"
Stranger Things,(2016– ),"Drama, Fantasy, Horror",51 min,8.7,"875,188"
The Walking Dead,(2010–2022),"Drama, Horror, Thriller",44 min,8.2,"879,840"
13 Reasons Why,(2017–2020),"Drama, Mystery, Thriller",60 min,7.6,"264,331"
The 100,(2014–2020),"Drama, Mystery, Sci-Fi",43 min,7.6,"225,812"
Orange Is the New Black,(2013–2019),"Comedy, Crime, Drama",59 min,8,"283,574"
Riverdale,(2017– ),"Crime, Drama, Mystery",45 min,6.8,"125,165"
Grey's Anatomy,(2005– ),"Drama, Romance",41 min,7.5,"263,877"
The Flash,(2014– ),"Action, Adventure, Drama",43 min,7.6,"317,237"
Arrow,(2012–2020),"Action, Adventure, Crime",42 min,7.5,"413,503"
Money Heist,(2017–2021),"Action, Crime, Mystery",70 min,8.3,"337,791"
The Big Bang Theory,(2007–2019),"Comedy, Romance",22 min,8.1,"740,624"
Black Mirror,(2011– ),"Drama, Sci-Fi, Thriller",60 min,8.8,"466,261"
Sherlock,(2010–2017),"Crime, Drama, Mystery",88 min,9.1,"834,977"
Vikings,(2013–2020),"Action, Adventure, Drama",44 min,8.5,"455,848"
Pretty Little Liars,(2010–2017),"Drama, Mystery, Romance",44 min,7.4,"155,275"
The Vampire Diaries,(2009–2017),"Drama, Fantasy, Horror",43 min,7.7,"292,154"
American Horror Story,(2011– ),"Drama, Horror, Thriller",60 min,8,"284,157"
Breaking Bad,(2008–2013),"Crime, Drama, Thriller",49 min,9.4,"1,540,418"
Lucifer,(2016– ),"Crime, Drama, Fantasy",42 min,8.1,"259,295"
Supernatural,(2005–2020),"Drama, Fantasy, Horror",44 min,8.4,"401,944"
Prison Break,(2005–2017),"Action, Crime, Drama",44 min,8.3,"490,289"
How to Get Away with Murder,(2014–2020),"Crime, Drama, Mystery",43 min,8.1,"135,242"
Teen Wolf,(2011–2017),"Action, Drama, Fantasy",41 min,7.6,"132,115"
The Simpsons,(1989– ),"Animation, Comedy",22 min,8.6,"373,801"
Once Upon a Time,(2011–2018),"Adventure, Fantasy, Romance",60 min,7.7,"211,984"
Narcos,(2015–2017),"Biography, Crime, Drama",49 min,8.8,"373,164"
Daredevil,(2015–2018),"Action, Crime, Drama",54 min,8.6,"372,987"
Friends,(1994–2004),"Comedy, Romance",22 min,8.9,"873,147"
How I Met Your Mother,(2005–2014),"Comedy, Romance",22 min,8.3,"621,363"
Suits,(2011–2019),"Comedy, Drama",44 min,8.4,"372,767"
Mr. Robot,(2015–2019),"Crime, Drama, Thriller",49 min,8.5,"344,030"
The Originals,(2013–2018),"Drama, Fantasy, Horror",45 min,8.2,"121,923"
Supergirl,(2015–2021),"Action, Adventure, Drama",43 min,6.2,"114,786"
Gossip Girl,(2007–2012),"Drama, Romance",42 min,7.4,"158,629"
Sense8,(2015–2018),"Drama, Mystery, Sci-Fi",60 min,8.3,"143,458"
Gotham,(2014–2019),"Action, Crime, Drama",42 min,7.8,"215,617"
Westworld,(2016– ),"Drama, Mystery, Sci-Fi",62 min,8.6,"442,283"
Jessica Jones,(2015–2019),"Action, Crime, Drama",56 min,7.9,"197,146"
Modern Family,(2009–2020),"Comedy, Drama, Romance",22 min,8.4,"374,418"
Rick and Morty,(2013– ),"Animation, Adventure, Comedy",23 min,9.2,"405,702"
Shadowhunters,(2016–2019),"Action, Drama, Fantasy",42 min,6.6,"55,804"
The End of the F***ing World,(2017–2019),"Adventure, Comedy, Crime",25 min,8.1,"156,241"
House of Cards,(2013–2018),Drama,51 min,8.7,"475,113"
Dark,(2017–2020),"Crime, Drama, Mystery",60 min,8.8,"309,517"
Elite,(2018– ),"Crime, Drama, Thriller",60 min,7.5,"58,190"
Sex Education,(2019– ),"Comedy, Drama",45 min,8.3,"174,710"
Shameless,(2011–2021),"Comedy, Drama",46 min,8.5,"212,164"
New Girl,(2011–2018),Comedy,22 min,7.7,"199,378"
Agents of S.H.I.E.L.D.,(2013–2020),"Action, Adventure, Drama",45 min,7.5,"204,347"
You,(2018– ),"Crime, Drama, Romance",45 min,7.7,"155,918"
Dexter,(2006–2021),"Crime, Drama, Mystery",53 min,8.6,"661,561"
Fear the Walking Dead,(2015– ),"Drama, Horror, Sci-Fi",44 min,6.9,"117,329"
Family Guy,(1999–2022),"Animation, Comedy",22 min,8.1,"311,199"
The Blacklist,(2013– ),"Crime, Drama, Mystery",43 min,8,"211,047"
Lost,(2004–2010),"Adventure, Drama, Fantasy",44 min,8.3,"509,893"
Peaky Blinders,(2013– ),"Crime, Drama",60 min,8.8,"387,317"
House,(2004–2012),"Drama, Mystery",44 min,8.7,"424,449"
Quantico,(2015–2018),"Crime, Drama, Mystery",42 min,6.7,"58,004"
Orphan Black,(2013–2017),"Action, Drama, Sci-Fi",44 min,8.3,"103,945"
Homeland,(2011–2020),"Crime, Drama, Mystery",55 min,8.3,"321,315"
Blindspot,(2015–2020),"Action, Crime, Drama",42 min,7.4,"68,000"
DC's Legends of Tomorrow,(2016– ),"Action, Adventure, Drama",42 min,6.8,"95,213"
The Handmaid's Tale,(2017– ),"Drama, Sci-Fi, Thriller",60 min,8.4,"192,328"
Chilling Adventures of Sabrina,(2018–2020),"Drama, Fantasy, Horror",60 min,7.5,"81,956"
The Good Doctor,(2017– ),Drama,41 min,8.1,"68,637"
Jane the Virgin,(2014–2019),Comedy,60 min,7.8,"41,249"
Glee,(2009–2015),"Comedy, Drama, Music",44 min,6.7,"139,374"
South Park,(1997– ),"Animation, Comedy",22 min,8.7,"338,544"
Brooklyn Nine-Nine,(2013–2022),"Comedy, Crime",22 min,8.4,"245,769"
Under the Dome,(2013–2015),"Drama, Mystery, Sci-Fi",43 min,6.6,"102,408"
The Umbrella Academy,(2019– ),"Action, Adventure, Comedy",60 min,8,"173,540"
True Detective,(2014–2019),"Crime, Drama, Mystery",55 min,8.9,"513,098"
The OA,(2016–2019),"Drama, Fantasy, Mystery",60 min,7.8,"94,142"
Desperate Housewives,(2004–2012),"Comedy, Drama, Mystery",45 min,7.5,"119,213"
Better Call Saul,(2015– ),"Crime, Drama",46 min,8.8,"344,693"
Bates Motel,(2013–2017),"Drama, Horror, Mystery",45 min,8.1,"99,802"
The Punisher,(2017–2019),"Action, Crime, Drama",53 min,8.5,"193,124"
Atypical,(2017–2021),"Comedy, Drama",30 min,8.3,"66,826"
Dynasty,(2017– ),Drama,42 min,7.3,"16,427"
This Is Us,(2016–2022),"Comedy, Drama, Romance",45 min,8.7,"115,506"
The Good Place,(2016–2020),"Comedy, Drama, Fantasy",22 min,8.2,"125,874"
Iron Fist,(2017–2018),"Action, Adventure, Crime",55 min,6.5,"118,147"
The Rain,(2018–2020),"Drama, Sci-Fi, Thriller",45 min,6.3,"32,600"
Mindhunter,(2017–2019),"Crime, Drama, Thriller",60 min,8.6,"233,310"
Revenge,(2011–2015),"Drama, Mystery, Thriller",44 min,7.8,"114,489"
Luke Cage,(2016–2018),"Action, Crime, Drama",55 min,7.3,"119,576"
Scandal,(2012–2018),"Drama, Thriller",43 min,7.7,"68,483"
The Defenders,(2017),"Action, Adventure, Crime",50 min,7.3,"93,955"
Big Little Lies,(2017–2019),"Crime, Drama, Mystery",60 min,8.5,"166,789"
Insatiable,(2018–2019),"Comedy, Drama, Thriller",45 min,6.5,"23,908"
The Mentalist,(2008–2015),"Crime, Drama, Mystery",43 min,8.1,"169,510"
The Crown,(2016– ),"Biography, Drama, History",58 min,8.6,"168,052"
Chernobyl,(2019),"Drama, History, Thriller",330 min,9.4,"589,775"
iZombie,(2015–2019),"Comedy, Crime, Drama",42 min,7.8,"61,922"
Reign,(2013–2017),"Drama, Fantasy",42 min,7.5,"44,796"
A Series of Unfortunate Events,(2017–2019),"Adventure, Comedy, Drama",50 min,7.8,"55,426"
Criminal Minds,(2005–2020),"Crime, Drama, Mystery",42 min,8.1,"169,777"
Scream: The TV Series,(2015–2019),"Comedy, Crime, Drama",45 min,7.1,"35,141"
The Haunting of Hill House,(2018),"Drama, Horror, Mystery",572 min,8.6,"193,476"
